School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
West Plains,33.7,13.23,46.93,1,12,1
Marshfield,26.55,18.79,45.34,2,1,2
Lift for Life Academy Charter,25.65,16.16,41.8,3,4,3
Webb City,24.97,12.34,37.31,4,15,4
McDonald County,16.7,17.42,34.12,13,3,5
MICDS,20.87,11.61,32.48,7,17,6
Helias Catholic,19.81,11.8,31.61,9,16,7
Hillcrest,17.28,13.96,31.25,11,9,8
Grandview,16.55,14.33,30.88,14,8,9
St. Dominic,14.78,15.86,30.64,16,5,10
University City,15.83,14.45,30.28,15,7,11
Jefferson City,21.48,8.75,30.22,6,18,12
Willard,23.77,5.04,28.81,5,26,13
Ft. Zumwalt South,10.14,17.61,27.75,23,2,14
Farmington,12.36,15.1,27.46,21,6,15
Kearney,13.22,13.96,27.18,17,10,16
Hillsboro,12.85,13.16,26.01,19,13,17
Lincoln College Prep,11.05,12.45,23.49,22,14,18
Festus,20.0,2.53,22.53,8,29,19
St. Michael the Archangel,6.54,13.35,19.89,29,11,20
Whitfield,12.55,7.16,19.72,20,22,21
St. Pius X (Kansas City),13.16,5.08,18.24,18,25,22
Ladue Horton Watkins,17.19,0.47,17.66,12,37,23
Camdenton,18.98,-1.77,17.21,10,44,24
Webster Groves,9.22,7.83,17.05,24,21,25
Carl Junction,7.88,8.08,15.96,27,20,26
Parkway North,8.0,2.76,10.76,26,28,27
Platte County,1.87,8.55,10.42,34,19,28
Holt,6.9,-1.43,5.47,28,42,29
Winnetonka,6.14,-2.73,3.41,30,46,30
Washington,-2.79,5.93,3.14,41,23,31
Central (Cape Girardeau),3.29,-0.58,2.71,32,40,32
Mehlville,-2.87,5.49,2.62,42,24,33
Warrensburg,4.84,-2.75,2.1,31,47,34
Nerinx Hall,1.67,-0.15,1.52,35,39,35
Warrenton,0.64,0.82,1.46,37,35,36
Lebanon,8.09,-7.08,1.01,25,54,37
Parkway Central,-3.98,3.44,-0.54,45,27,38
Hannibal,-0.4,-1.47,-1.87,38,43,39
Notre Dame (Cape Girardeau),-3.14,0.23,-2.91,43,38,40
Sikeston,2.68,-5.98,-3.3,33,51,41
Rockwood Summit,-4.53,1.22,-3.31,46,32,42
Belton,-4.9,0.88,-4.02,47,34,43
Union,-5.7,1.18,-4.52,48,33,44
Poplar Bluff,-6.91,2.26,-4.65,50,30,45
William Chrisman,1.15,-5.91,-4.76,36,50,46
Van Horn,-6.3,0.71,-5.58,49,36,47
Capital City,-2.21,-4.54,-6.75,40,49,48
Pacific,-9.84,2.21,-7.63,52,31,49
Raytown South,-9.63,-1.15,-10.78,51,41,50
DeSoto,-0.92,-11.32,-12.24,39,58,51
Central (Springfield),-10.46,-2.18,-12.64,53,45,52
Raytown,-3.28,-12.44,-15.72,44,59,53
Windsor (Imperial),-11.02,-6.56,-17.58,54,53,54
Hazelwood East,-12.91,-6.45,-19.37,55,52,55
McCluer North,-16.43,-3.24,-19.67,57,48,56
Parkview,-15.95,-10.1,-26.06,56,57,57
Ft. Zumwalt East,-17.18,-9.33,-26.52,58,56,58
Riverview Gardens,-17.89,-15.01,-32.89,59,60,59
McCluer,-20.93,-16.57,-37.5,61,61,60
Ruskin,-29.77,-8.96,-38.73,62,55,61
Confluence Prep Academy Charter with Grand Center Arts Charter,-19.0,-28.46,-47.45,60,63,62
Northeast (Kansas City),-42.65,-20.1,-62.75,63,62,63
Gateway with Soldan International Studies,-49.86,-33.64,-83.5,64,64,64
