School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Strafford,35.88,19.47,55.35,1,2,1
Logan-Rogersville,30.03,17.64,47.67,2,6,2
Benton,27.96,18.73,46.68,4,4,3
Lafayette (St. Joseph),19.05,25.3,44.36,8,1,4
Cardinal Ritter,29.65,14.54,44.19,3,8,5
Doniphan,24.55,18.91,43.46,6,3,6
Boonville,25.3,12.25,37.55,5,12,7
Chillicothe,12.86,18.35,31.21,18,5,8
St. Francis Borgia,18.06,9.5,27.56,9,23,9
Maryville,17.26,10.03,27.29,10,19,10
Lutheran South,16.88,10.34,27.22,11,18,11
Bolivar,15.54,11.08,26.61,13,14,12
Savannah,13.98,11.96,25.94,15,13,13
Smithville,12.67,12.96,25.62,19,10,14
Kennett,15.47,9.68,25.15,14,22,15
California,19.43,5.65,25.08,7,31,16
Nevada,8.06,16.01,24.07,33,7,17
St. Pius X (Festus),13.22,9.89,23.12,16,20,18
Oak Grove,12.07,10.42,22.49,23,17,19
Osage,15.87,4.46,20.33,12,35,20
Kirksville,10.36,9.17,19.53,26,24,21
St. Charles West,7.89,10.84,18.73,35,15,22
Potosi,9.89,8.06,17.95,28,25,23
Cassville,11.86,4.98,16.84,24,33,24
Notre Dame de Sion,11.13,5.7,16.83,25,30,25
North County,9.11,7.33,16.43,31,27,26
STEAM Academy,12.63,2.68,15.31,20,42,27
Odessa,12.49,2.7,15.19,21,41,28
Knob Noster,12.22,2.78,15.0,22,40,29
Pembroke Hill,2.19,12.65,14.84,45,11,30
Clever,9.86,4.22,14.09,29,37,31
St. James,-0.82,14.43,13.61,55,9,32
Orchard Farm,5.33,7.64,12.98,41,26,33
Clayton,9.35,2.31,11.66,30,45,34
Cuba,1.71,9.79,11.5,47,21,35
Reeds Spring,-0.11,10.83,10.72,52,16,36
Blair Oaks,8.0,2.56,10.56,34,43,37
Sullivan,4.16,4.83,8.99,42,34,38
Mountain Grove,8.07,-0.33,7.75,32,53,39
Mt. Vernon,5.6,1.2,6.8,40,50,40
Perryville,7.0,-0.48,6.53,37,55,41
Southern Boone,0.02,6.38,6.4,50,29,42
Mexico,12.99,-6.81,6.18,17,73,43
Pleasant Hill,10.19,-4.41,5.78,27,66,44
Aurora,1.47,3.89,5.36,49,38,45
East Newton,-1.74,6.65,4.91,59,28,46
Winfield,3.3,1.39,4.69,43,48,47
Richmond,2.51,1.57,4.09,44,47,48
Harrisonville,1.52,2.48,4.0,48,44,49
Central (Park Hills),-1.54,5.48,3.94,58,32,50
Monett,5.8,-2.21,3.59,38,58,51
Eldon,7.79,-4.37,3.42,36,64,52
Excelsior Springs,5.73,-2.43,3.3,39,59,53
St. Charles,-2.2,4.37,2.17,60,36,54
Buffalo,-0.52,2.22,1.7,53,46,55
Fredericktown,-0.57,1.27,0.7,54,49,56
Moberly,-0.92,0.72,-0.2,57,51,57
St. Clair,2.13,-3.98,-1.86,46,63,58
Westminster Christian Academy,-3.37,0.45,-2.92,62,52,59
Marshall,-8.15,3.41,-4.75,72,39,60
Salem,-0.86,-3.91,-4.77,56,62,61
Hollister,-0.07,-7.05,-7.12,51,74,62
Notre Dame (St. Louis),-3.43,-4.41,-7.84,63,67,63
Dexter,-7.16,-1.35,-8.51,68,56,64
Summit Christian Academy,-7.2,-1.51,-8.71,69,57,65
Villa Duchesne,-8.46,-0.35,-8.81,73,54,66
Cameron,-2.68,-6.39,-9.07,61,72,67
Ste. Genevieve,-7.34,-3.65,-10.99,71,61,68
Forsyth,-7.29,-4.39,-11.68,70,65,69
Owensville,-9.81,-2.66,-12.47,76,60,70
Miller Career Academy with Sumner,-6.34,-6.28,-12.62,65,70,71
Fulton,-6.7,-5.93,-12.64,67,69,72
Seneca,-3.91,-8.75,-12.66,64,77,73
Visitation Academy,-8.68,-6.3,-14.98,74,71,74
Center,-6.69,-8.54,-15.24,66,76,75
Clinton,-13.79,-5.63,-19.42,78,68,76
Hallsville,-12.1,-7.93,-20.04,77,75,77
Wright City,-9.51,-11.72,-21.23,75,80,78
Ewing Marion Kauffman,-16.85,-8.83,-25.68,80,78,79
Maplewood-Richmond Hts.,-19.35,-9.85,-29.2,83,79,80
Central (Kansas City),-17.41,-12.06,-29.47,81,81,81
Jennings,-15.23,-15.93,-31.17,79,84,82
Herculaneum,-17.73,-13.81,-31.53,82,83,83
Bayless,-26.32,-12.53,-38.85,85,82,84
Metro,-21.59,-19.71,-41.31,84,88,85
Gateway Science Charter,-27.53,-19.17,-46.69,86,87,86
Normandy Collaborative,-29.31,-18.34,-47.66,87,86,87
Paseo Academy,-36.19,-16.49,-52.69,88,85,88
Guadalupe Centers Charter,-37.45,-25.92,-63.38,90,89,89
Affton,-36.86,-27.65,-64.51,89,90,90
Vashon,-41.7,-28.45,-70.15,91,91,91
