School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Incarnate Word Academy,45.16,35.08,80.24,1,1,1
Staley,40.43,34.83,75.26,3,2,2
Lee's Summit West,42.01,23.53,65.55,2,7,3
Jackson,28.58,26.0,54.57,10,3,4
Kickapoo,30.73,22.51,53.24,7,8,5
Lutheran St. Charles,33.26,19.81,53.07,5,11,6
Rock Bridge,32.29,20.57,52.86,6,10,7
Liberty North,34.24,14.97,49.21,4,24,8
Park Hill South,22.0,23.71,45.71,21,6,9
Cor Jesu Academy,20.41,24.43,44.85,23,5,10
Republic,22.06,21.5,43.56,20,9,11
St. Teresa's Academy,18.65,24.9,43.55,28,4,12
Marquette,30.08,12.73,42.82,9,33,13
Troy Buchanan,25.34,17.46,42.79,12,16,14
Liberty,24.46,17.24,41.71,14,17,15
St. Joseph's Academy,27.99,13.37,41.37,11,31,16
Nixa,24.55,15.48,40.03,13,23,17
Hickman,21.23,17.47,38.7,22,15,18
North Kansas City,22.74,15.62,38.36,18,22,19
Oak Park,30.3,7.79,38.09,8,42,20
Ursuline Academy,23.64,14.41,38.05,16,26,21
John Burroughs,23.48,14.04,37.53,17,29,22
Francis Howell,18.44,16.54,34.98,29,19,23
Lee's Summit,17.85,17.04,34.89,30,18,24
Rolla,23.79,10.94,34.73,15,37,25
Eureka,20.04,14.08,34.11,24,28,26
Grain Valley,22.39,11.65,34.03,19,36,27
Park Hill,16.12,17.58,33.7,31,14,28
Raymore-Peculiar,19.21,14.09,33.29,26,27,29
Ozark,13.47,16.46,29.94,33,20,30
Branson,19.83,8.41,28.24,25,41,31
Blue Springs,9.27,18.59,27.85,40,13,32
Glendale,6.96,19.0,25.96,47,12,33
Kirkwood,9.2,15.99,25.19,41,21,34
Francis Howell Central,12.02,12.66,24.68,34,34,35
Blue Springs South,11.61,12.0,23.61,36,35,36
North Point,8.83,14.71,23.54,42,25,37
Hazelwood Central,12.01,10.22,22.23,35,39,38
Battle,7.38,13.68,21.06,45,30,39
Hazelwood West,18.81,1.3,20.11,27,55,40
Lafayette (Wildwood),5.99,12.88,18.88,48,32,41
Smith-Cotton,10.14,6.58,16.72,39,43,42
Francis Howell North,11.19,4.14,15.32,38,50,43
Ft. Zumwalt West,3.05,10.88,13.93,52,38,44
Waynesville,8.24,5.54,13.78,43,46,45
Oakville,7.5,5.2,12.7,44,48,46
Seckman,11.47,1.19,12.66,37,56,47
Lindbergh,4.68,6.26,10.94,49,45,48
Parkway South,14.69,-4.58,10.11,32,60,49
Liberty (Wentzville),3.28,5.44,8.72,51,47,50
Carthage,1.33,6.35,7.68,55,44,51
Fort Osage,4.44,3.22,7.66,50,52,52
Ft. Zumwalt North,7.14,0.19,7.33,46,58,53
Joplin,2.14,5.18,7.32,53,49,54
Truman,1.85,1.99,3.84,54,54,55
Timberland,-0.66,3.74,3.08,57,51,56
Central (St. Joseph),-5.93,8.79,2.86,61,40,57
Lee's Summit North,1.07,0.44,1.51,56,57,58
Fox,-1.07,-1.92,-2.99,58,59,59
Parkway West,-5.97,2.7,-3.27,62,53,60
Pattonville,-5.57,-5.77,-11.34,60,61,61
Neosho,-5.45,-9.96,-15.41,59,63,62
Northwest (Cedar Hill),-13.2,-9.27,-22.48,63,62,63
Ritenour,-32.8,-12.98,-45.78,64,64,64
